id,snapshot_id,keyword,col,table
466214366675133813,8,refactor,title,issue
2348570479459910255,5,refactor,body,issue
8650790295139378392,6,refactor,title,issue
-6485367643117764256,8,refactor,title,issue
73397034000274910,6,refactor,title,issue
-792851020111487523,7,refactor,body,issue
-792851020111487523,7,refactor,title,issue
-6485367643117764256,7,refactor,title,issue
8889409032041050214,7,refactor,body,issue
466214366675133813,7,refactor,title,issue
2348570479459910255,1,refactor,body,issue
-792851020111487523,6,refactor,body,issue
-792851020111487523,6,refactor,title,issue
8650790295139378392,4,refactor,title,issue
466214366675133813,6,refactor,title,issue
-6485367643117764256,4,refactor,title,issue
2075774599925211208,8,refactor,title,issue
2348570479459910255,4,refactor,body,issue
73397034000274910,5,refactor,title,issue
-6485367643117764256,6,refactor,title,issue
8889409032041050214,6,refactor,body,issue
73397034000274910,7,refactor,title,issue
2075774599925211208,7,refactor,title,issue
2348570479459910255,6,refactor,body,issue
2348570479459910255,9,refactor,body,issue
73397034000274910,8,refactor,title,issue
466214366675133813,4,refactor,title,issue
2348570479459910255,7,refactor,body,issue
8889409032041050214,3,refactor,body,issue
2348570479459910255,3,refactor,body,issue
-6485367643117764256,5,refactor,title,issue
-6485367643117764256,9,refactor,title,issue
-792851020111487523,3,refactor,body,issue
-792851020111487523,3,refactor,title,issue
466214366675133813,9,refactor,title,issue
466214366675133813,5,refactor,title,issue
-6485367643117764256,2,refactor,title,issue
-792851020111487523,8,refactor,body,issue
-792851020111487523,8,refactor,title,issue
8650790295139378392,3,refactor,title,issue
8889409032041050214,8,refactor,body,issue
8889409032041050214,9,refactor,body,issue
466214366675133813,3,refactor,title,issue
-792851020111487523,2,refactor,body,issue
-792851020111487523,2,refactor,title,issue
466214366675133813,2,refactor,title,issue
73397034000274910,9,refactor,title,issue
-6485367643117764256,3,refactor,title,issue
8889409032041050214,2,refactor,body,issue
-154571750237984265,9,refactor,title,issue
8650790295139378392,2,refactor,title,issue
8650790295139378392,9,refactor,title,issue
-6485367643117764256,1,refactor,title,issue
-792851020111487523,1,refactor,body,issue
-792851020111487523,1,refactor,title,issue
8889409032041050214,1,refactor,body,issue
8650790295139378392,8,refactor,title,issue
2348570479459910255,2,refactor,body,issue
-792851020111487523,5,refactor,body,issue
-792851020111487523,5,refactor,title,issue
-792851020111487523,9,refactor,body,issue
-792851020111487523,9,refactor,title,issue
-792851020111487523,4,refactor,body,issue
-792851020111487523,4,refactor,title,issue
8650790295139378392,1,refactor,title,issue
8650790295139378392,7,refactor,title,issue
8889409032041050214,5,refactor,body,issue
2075774599925211208,9,refactor,title,issue
-8591729100679452862,9,refactor,body,issue
8889409032041050214,4,refactor,body,issue
8650790295139378392,5,refactor,title,issue
466214366675133813,1,refactor,title,issue
2348570479459910255,8,refactor,body,issue
